artist,total_views,100m,avg
Dhvani Bhanushali,2403500000,2.0,0.57
Polo G,2402300000,5.0,0.87
Foo Fighters,2397000000,6.0,0.53
Calum Scott,2396700000,4.0,0.7
Lukas Graham,2395400000,4.0,0.44
Trey Songz,2390500000,4.0,0.33
Miyagi,2384700000,4.0,1.49
Mau y Ricky,2375800000,3.0,0.8
Kelly Clarkson,2374700000,4.0,0.45
Selena,2362700000,7.0,0.97
Koray Avcı,2353900000,7.0,0.25
Gera MX,2349800000,3.0,1.06
Carla Morrison,2333700000,5.0,0.9
George Michael,2330800000,5.0,1.04
Sean Kingston,2327000000,4.0,0.72
Muse,2326400000,6.0,0.46
Luke Bryan,2321200000,7.0,0.35
Leningrad,2309300000,6.0,0.33
Super Junior,2295400000,7.0,0.37
De La Ghetto,2271500000,3.0,0.47
YG,2265600000,6.0,0.36
Roddy Ricch,2262900000,6.0,0.66
Avenged Sevenfold,2262800000,7.0,0.56
Carly Rae Jepsen,2255900000,2.0,0.31
Elton John,2250200000,6.0,1.4
iKON,2247100000,3.0,0.32
Alka Yagnik,2241600000,6.0,0.7
J. Cole,2241400000,6.0,0.78
Snoop Dogg,2233700000,7.0,0.54
Rita Ora,2229900000,4.0,0.29
Disturbed,2216700000,3.0,0.64
Desiigner,2215500000,4.0,0.27
Tones and I,2212600000,1.0,0.48
Gotye,2205000000,1.0,0.6
Zé Vaqueiro,2203100000,7.0,0.99
a-ha,2202900000,1.0,0.75
Diego & Victor Hugo,2200200000,7.0,0.64
A Boogie wit da Hoodie,2191100000,3.0,0.67
Logic,2184200000,3.0,0.19
Juanes,2177100000,8.0,0.56
Projota,2175800000,5.0,0.27
Kendji Girac,2175600000,8.0,0.47
2NE1,2166100000,2.0,0.24
Piccolo Coro dell'Antoniano,2154600000,3.0,0.68
Lunay,2144199999,6.0,0.45
Lil Dicky,2138000000,4.0,0.26
Rod Stewart,2136699999,4.0,1.11
Rag'n'Bone Man,2131800000,2.0,0.68
U2,2130800000,5.0,0.71
Megan Thee Stallion,2129400000,8.0,0.6
Hassan Shakosh,2121699999,5.0,0.35
Tove Lo,2116000000,3.0,0.47
K-ICM,2115800000,5.0,0.15
MC Pedrinho,2114400000,7.0,0.21
Sorriso Maroto,2095699999,4.0,0.64
The Script,2091400000,5.0,0.36
Danna Paola,2090300000,4.0,0.58
Mike Posner,2080000000,2.0,0.33
Ke$ha,2078300000,6.0,0.24
Silentó,2059300000,1.0,0.13
MC Fioti,2058800000,1.0,0.22
Himesh Reshammiya,2052199999,3.0,1.31
Amy Winehouse,2049100000,4.0,0.68
MC Kekel,2048199999,6.0,0.1
ITZY,2035100000,7.0,1.01
Tory Lanez,2033100000,2.0,0.55
Shreya Ghoshal,2032500000,5.0,0.67
Michel Teló,2028000000,2.0,0.26
Kane Brown,2027900000,3.0,0.57
Capital Bra,2015600000,2.0,0.29
Tierry,2015500000,3.0,0.85
Zack Knight,2014300000,3.0,0.54
Andrea Bocelli,2013500000,4.0,0.69
Nelly Furtado,2011500000,4.0,0.66
Pabllo Vittar,1999100000,5.0,0.25
Andra,1998500000,4.0,0.2
MC Davo,1996000000,5.0,0.57
Olivia Rodrigo,1995700000,5.0,0.97
Joey Montana,1989900000,2.0,0.17
Lorde,1989800000,4.0,0.2
Eduardo Costa,1985200000,4.0,0.54
AKB48,1984400000,2.0,0.2
Skillet,1983400000,4.0,0.55
Indila,1982000000,4.0,0.88
Darshan Raval,1973400000,4.0,0.54
Lucas Lucco,1972600000,7.0,0.39
YOUNGOHM,1969000000,7.0,0.77
The Killers,1962100000,6.0,0.39
blink-182,1962000000,5.0,0.45
Big Sean,1959900000,5.0,0.16
Lartiste,1954500000,3.0,0.26
Cocktail,1947400000,7.0,0.38
JoJo Siwa,1941600000,4.0,0.21
Jason Mraz,1934700000,5.0,0.34
Jessi Uribe,1932000000,5.0,1.0
Kid Ink,1930900000,3.0,0.21
Cyndi Lauper,1930700000,3.0,0.54
Timati,1928600000,2.0,0.54
Hala Al Turk,1923400000,6.0,0.24
Laura Pausini,1922200000,2.0,0.41
Shania Twain,1919200000,6.0,0.69
Luciano Pereyra,1912000000,3.0,0.57
Michael Bublé,1909600000,5.0,0.32
Timbaland,1904900000,6.0,0.7
Fergie,1899000000,6.0,0.4
Juan Magan,1898200000,5.0,0.24
Mohamed Alsalim,1897800000,3.0,0.54
Banda El Recodo De Cruz Lizárraga,1895600000,5.0,0.38
Natalia Lafourcade,1893900000,5.0,0.79
Depeche Mode,1890800000,4.0,0.63
Balti,1890400000,3.0,0.65
Imran Khan,1888600000,4.0,0.89
Alvaro Soler,1886600000,4.0,0.31
Lewis Capaldi,1880300000,4.0,1.0
Sabyan,1878800000,6.0,0.15
Alemán,1875100000,3.0,1.05
Sin Bandera,1866700000,6.0,0.5
B Praak,1863100000,3.0,0.23
